station,valid, tmpf ,  dwpf ,  relh ,  drct ,  sped ,  mslp ,  p01i ,  vsby ,  presentwx
CMI,2016-01-07 01:53,35.06,23.00,61.08,150.00,9.2,1021.20,0.00,10.00,M
CMI,2016-01-07 02:53,35.06,24.08,63.91,150.00,8.1,1020.90,0.00,10.00,M
CMI,2016-01-07 03:53,33.98,24.98,69.28,130.00,6.9,1020.40,0.00,10.00,M
CMI,2016-01-07 04:53,33.98,26.96,75.20,130.00,5.8,1020.30,0.00,10.00,UP
CMI,2016-01-07 05:53,33.98,26.96,75.20,130.00,5.8,1020.70,0.00,10.00,M
CMI,2016-01-07 06:53,33.08,26.96,77.96,110.00,8.1,1020.50,0.00,10.00,M
CMI,2016-01-07 07:53,33.98,26.96,75.20,120.00,8.1,1020.40,0.00,10.00,M
CMI,2016-01-07 08:53,35.96,26.96,69.51,120.00,9.2,1020.20,0.00,10.00,M
CMI,2016-01-07 09:53,37.04,26.96,66.60,120.00,9.2,1020.50,0.00,10.00,M
CMI,2016-01-07 10:53,37.94,28.04,67.21,130.00,10.4,1019.90,0.00,10.00,M
CMI,2016-01-07 11:53,46.04,30.92,55.32,160.00,11.5,1018.40,0.00,10.00,M
CMI,2016-01-07 12:53,46.04,30.92,55.32,160.00,11.5,1017.40,0.00,10.00,M
CMI,2016-01-07 13:53,48.02,33.08,56.01,160.00,11.5,1016.60,0.00,10.00,M
CMI,2016-01-07 14:53,46.94,33.08,58.33,140.00,11.5,1016.20,0.00,10.00,M
CMI,2016-01-07 15:53,42.98,33.98,70.30,130.00,9.2,1016.40,0.00,10.00,M
CMI,2016-01-07 16:53,37.94,32.00,78.96,120.00,9.2,1016.30,0.00,10.00,M
CMI,2016-01-07 17:53,39.02,33.08,79.05,120.00,9.2,1016.00,0.00,10.00,M
CMI,2016-01-07 18:53,39.02,33.08,79.05,120.00,10.4,1015.90,0.00,10.00,M
CMI,2016-01-07 19:53,41.00,33.08,73.19,140.00,12.7,1015.90,0.00,10.00,M
CMI,2016-01-07 20:53,41.00,33.08,73.19,140.00,9.2,1015.40,0.00,10.00,M
CMI,2016-01-07 21:53,39.02,33.98,81.95,130.00,11.5,1014.90,0.00,10.00,-RA
CMI,2016-01-07 22:07,39.92,35.06,82.60,120.00,9.2,M,0.00,10.00,-RA
CMI,2016-01-07 22:53,39.92,35.06,82.60,110.00,9.2,1014.30,0.00,10.00,M
CMI,2016-01-07 23:11,39.92,35.06,82.60,120.00,11.5,M,0.00,10.00,M
CMI,2016-01-07 23:53,39.92,35.96,85.61,120.00,11.5,1013.50,0.00,9.00,-RA
CMI,2016-01-08 00:53,39.02,35.96,88.66,110.00,11.5,1012.40,0.02,10.00,-RA
CMI,2016-01-08 01:43,39.92,35.96,85.61,110.00,10.4,M,0.00,10.00,M
CMI,2016-01-08 01:53,39.92,35.96,85.61,110.00,10.4,1011.90,0.00,10.00,-RA
CMI,2016-01-08 02:27,39.92,35.96,85.61,110.00,9.2,M,0.00,10.00,M
CMI,2016-01-08 02:37,39.92,35.96,85.61,100.00,9.2,M,0.00,10.00,M
CMI,2016-01-08 02:53,39.92,37.04,89.34,100.00,8.1,1011.10,0.00,10.00,M
CMI,2016-01-08 03:09,39.92,37.04,89.34,100.00,8.1,M,0.00,10.00,M
CMI,2016-01-08 03:39,39.92,37.04,89.34,100.00,8.1,M,0.00,10.00,M
CMI,2016-01-08 03:53,39.92,37.04,89.34,110.00,9.2,1010.50,0.00,10.00,M
CMI,2016-01-08 04:02,39.92,37.04,89.34,110.00,10.4,M,0.00,10.00,M
CMI,2016-01-08 04:53,39.92,37.04,89.34,110.00,8.1,1010.10,0.02,6.00,RA BR
CMI,2016-01-08 05:53,39.92,37.04,89.34,120.00,8.1,1010.00,0.06,10.00,-RA
CMI,2016-01-08 06:53,41.00,37.94,88.76,130.00,9.2,1009.60,0.00,8.00,M
CMI,2016-01-08 07:46,41.00,39.02,92.59,120.00,10.4,M,0.00,2.50,BR
CMI,2016-01-08 07:53,41.00,39.02,92.59,120.00,10.4,1009.10,0.00,1.50,BR
CMI,2016-01-08 08:15,41.00,39.92,95.90,130.00,8.1,M,0.00,0.50,FG
CMI,2016-01-08 08:30,41.00,39.92,95.90,130.00,8.1,M,0.00,0.25,FG
CMI,2016-01-08 08:42,41.00,39.92,95.90,140.00,8.1,M,0.00,0.25,FG
CMI,2016-01-08 08:53,42.08,41.00,95.92,140.00,8.1,1009.40,0.00,0.25,FG
CMI,2016-01-08 09:53,44.96,44.06,96.63,160.00,10.4,1009.30,0.00,0.25,FG
